t,amk_torque_limit_neg_left,amk_torque_limit_pos_left,amk_torque_target_left,amk_control_left
1751195748.205400,0.000000,214.200000,4.800000,1795.000000
1751195748.215400,0.000000,214.200000,4.800000,1795.000000
1751195748.225650,0.000000,214.200000,4.800000,1795.000000
1751195748.235400,0.000000,214.200000,4.800000,1795.000000
1751195748.245350,0.000000,214.200000,4.800000,1795.000000
1751195748.255450,0.000000,214.200000,4.800000,1795.000000
1751195748.265400,0.000000,214.200000,4.800000,1795.000000
1751195748.275400,0.000000,214.200000,4.800000,1795.000000
1751195748.285400,0.000000,214.200000,4.800000,1795.000000
1751195748.295400,0.000000,214.200000,4.800000,1795.000000
1751195748.305350,0.000000,214.200000,4.800000,1795.000000
1751195748.315350,0.000000,214.200000,4.100000,1795.000000
1751195748.325400,0.000000,214.200000,4.100000,1795.000000
1751195748.335400,0.000000,214.200000,4.100000,1795.000000
1751195748.345350,0.000000,214.200000,4.100000,1795.000000
1751195748.355400,0.000000,214.200000,4.100000,1795.000000
1751195748.365400,0.000000,214.200000,4.100000,1795.000000
1751195748.375400,0.000000,214.200000,4.100000,1795.000000
1751195748.385400,0.000000,214.200000,4.100000,1795.000000
1751195748.395400,0.000000,214.200000,4.100000,1795.000000
1751195748.405400,0.000000,214.200000,4.100000,1795.000000
1751195748.415350,0.000000,214.200000,4.100000,1795.000000
1751195748.425400,0.000000,214.200000,4.100000,1795.000000
1751195748.435400,0.000000,214.200000,4.100000,1795.000000
1751195748.445350,0.000000,214.200000,4.100000,1795.000000
1751195748.455400,0.000000,214.200000,4.100000,1795.000000
1751195748.465600,0.000000,214.200000,4.800000,1795.000000
1751195748.475400,0.000000,214.200000,4.800000,1795.000000
1751195748.485400,0.000000,214.200000,4.800000,1795.000000
1751195748.495450,0.000000,214.200000,4.800000,1795.000000
1751195748.505350,0.000000,214.200000,4.800000,1795.000000
1751195748.515350,0.000000,214.200000,4.100000,1795.000000
1751195748.525400,0.000000,214.200000,4.100000,1795.000000
1751195748.535400,0.000000,214.200000,4.100000,1795.000000
1751195748.545350,0.000000,214.200000,4.100000,1795.000000
1751195748.555350,0.000000,214.200000,4.100000,1795.000000
1751195748.565350,0.000000,214.200000,4.100000,1795.000000
1751195748.575400,0.000000,214.200000,4.100000,1795.000000
1751195748.585400,0.000000,214.200000,4.100000,1795.000000
1751195748.595350,0.000000,214.200000,4.100000,1795.000000
1751195748.605400,0.000000,214.200000,4.100000,1795.000000
1751195748.615400,0.000000,214.200000,4.100000,1795.000000
1751195748.625450,0.000000,214.200000,4.100000,1795.000000
1751195748.635350,0.000000,214.200000,4.100000,1795.000000
1751195748.645400,0.000000,214.200000,4.100000,1795.000000
1751195748.655400,0.000000,214.200000,4.100000,1795.000000
1751195748.665350,0.000000,214.200000,3.400000,1795.000000
1751195748.675400,0.000000,214.200000,3.400000,1795.000000
1751195748.685400,0.000000,214.200000,3.400000,1795.000000
1751195748.695350,0.000000,214.200000,3.400000,1795.000000
1751195748.705450,0.000000,214.200000,3.400000,1795.000000
1751195748.715350,0.000000,214.200000,4.100000,1795.000000
1751195748.725350,0.000000,214.200000,4.100000,1795.000000
1751195748.735400,0.000000,214.200000,4.100000,1795.000000
1751195748.745350,0.000000,214.200000,4.100000,1795.000000
1751195748.755350,0.000000,214.200000,4.100000,1795.000000
1751195748.765350,0.000000,214.200000,4.800000,1795.000000
1751195748.775400,0.000000,214.200000,4.800000,1795.000000
1751195748.785350,0.000000,214.200000,4.800000,1795.000000
