t,ams_voltage_max_8,ams_voltage_max_7,ams_voltage_max_6,ams_voltage_max_5,ams_voltage_max_4,ams_voltage_max_3,ams_voltage_max_2,ams_voltage_max_1
1751196028.783000,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.801700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.812950,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.824250,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.842900,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.854150,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.865450,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.876750,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.895350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.906650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.929200,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.959200,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.970500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.981800,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.000400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.011700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.023000,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.041700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.052950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.064250,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.075550,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.094150,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.105450,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.116750,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.128050,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.146750,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.158100,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.169300,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.180650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.199300,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.210600,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.221900,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.240500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.251800,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.263050,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.274350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.292950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.304250,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.315500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.326800,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.345450,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.356700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.368050,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.379300,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.398000,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.409250,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.420600,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.431850,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.450450,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.461750,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.473000,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.491600,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.502900,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.514200,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.525500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.544100,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.555350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.566650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.577950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.596700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.608000,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.619250,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.630500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.649250,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.660500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.671800,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.690450,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.701700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.713000,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.724300,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196029.742900,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.754200,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.765450,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.776750,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.795400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.806650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196029.817950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.829200,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.847950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.859200,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.870500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.881750,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.900400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.911700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.922950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.941550,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.952850,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196029.964150,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.975450,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196029.994050,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196030.005350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.016650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196030.046500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196030.057800,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.069100,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.080400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196030.099100,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.110400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.121650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.132950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.151650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.162950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.174200,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.192850,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.204150,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.215400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.226700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.245350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.256600,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.267950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.279200,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.297900,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.309150,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.320500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.331750,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.350350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.361650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.372950,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.391550,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.402850,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.414100,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.425400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.444050,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.455300,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.466600,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
1751196030.496500,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.910000,3.910000
