t,PDU_5V_current,PDU_12V_current,PDU_CH9_current,PDU_CH12_current,PDU_CH11_current,PDU_CH10_current
1751195604.603250,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195604.653250,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195604.703200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.753250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.803250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.853250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.903250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.953200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.003250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.053200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.103300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.153250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.203250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.253250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.303250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.353250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.403250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.453250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.503250,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195605.553250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.603300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.653250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.703300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.753250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.803300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.853250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.903250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195605.953500,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.003250,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195606.053300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.103250,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195606.153250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.203300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.253250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.303300,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195606.353300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.403450,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195606.453300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.503300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.553300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.603250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.653300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.703300,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.753250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.803300,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195606.853500,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195606.903300,0.000000,0.000000,0.000000,0.000000,1.240000,0.120000
1751195606.953300,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
