t,ams_shunt_voltage,ams_shunt_current,ams_shunt_amp_seconds
1751195547.867300,575.940000,1.270000,12800.000000
1751195547.919850,575.980000,1.290000,12800.000000
1751195547.972100,575.980000,1.220000,12800.000000
1751195548.024700,576.030000,1.240000,12800.000000
1751195548.065900,576.030000,1.260000,12800.000000
1751195548.118350,576.090000,1.210000,12800.000000
1751195548.170850,576.120000,1.220000,12800.000000
1751195548.223200,576.150000,1.170000,12800.000000
1751195548.275800,576.200000,1.160000,12800.000000
1751195548.317000,576.200000,1.180000,12800.000000
1751195548.369450,576.200000,1.190000,12800.000000
1751195548.421950,576.250000,1.140000,12800.000000
1751195548.474550,576.280000,1.110000,12800.000000
1751195548.515750,576.280000,1.160000,12800.000000
1751195548.568200,576.330000,1.130000,12800.000000
1751195548.620700,576.350000,1.130000,12800.000000
1751195548.673300,576.370000,1.070000,12800.000000
1751195548.725850,576.370000,1.080000,12800.000000
1751195548.767050,576.370000,1.090000,12800.000000
1751195548.819500,576.460000,1.060000,12800.000000
1751195548.872000,576.450000,1.030000,12800.000000
1751195548.924600,576.540000,1.020000,12800.000000
1751195548.965750,576.540000,1.040000,12800.000000
1751195549.018200,576.530000,1.010000,12800.000000
1751195549.070700,576.500000,0.990000,12800.000000
1751195549.123300,576.550000,0.990000,12800.000000
1751195549.175900,576.590000,0.970000,12800.000000
1751195549.217100,576.630000,0.980000,12800.000000
1751195549.269550,576.630000,0.930000,12800.000000
1751195549.322100,576.610000,0.950000,12800.000000
1751195549.374450,576.690000,0.930000,12800.000000
1751195549.415650,576.650000,0.910000,12800.000000
1751195549.468250,576.670000,0.930000,12800.000000
1751195549.520750,576.730000,0.900000,12800.000000
1751195549.573350,576.730000,0.880000,12800.000000
1751195549.625900,576.730000,0.870000,12800.000000
1751195549.667100,576.790000,0.880000,12800.000000
1751195549.719550,576.770000,0.840000,12800.000000
1751195549.772050,576.790000,0.810000,12800.000000
1751195549.824650,576.820000,0.830000,12800.000000
1751195549.865800,576.820000,0.810000,12800.000000
1751195549.918250,576.860000,0.810000,12800.000000
