t,Vehicle_State,shutdown_reason
1751195961.079600,4.000000,0.000000
1751195961.089600,4.000000,0.000000
1751195961.099600,4.000000,0.000000
1751195961.109800,4.000000,0.000000
1751195961.119650,4.000000,0.000000
1751195961.129600,4.000000,0.000000
1751195961.139600,4.000000,0.000000
1751195961.149650,4.000000,0.000000
1751195961.159600,4.000000,0.000000
1751195961.169600,4.000000,0.000000
1751195961.179650,4.000000,0.000000
1751195961.189600,4.000000,0.000000
1751195961.199600,4.000000,0.000000
1751195961.209550,4.000000,0.000000
1751195961.219550,4.000000,0.000000
1751195961.229600,4.000000,0.000000
1751195961.239600,4.000000,0.000000
1751195961.249600,4.000000,0.000000
1751195961.259600,4.000000,0.000000
1751195961.269850,4.000000,0.000000
1751195961.279600,4.000000,0.000000
1751195961.289600,4.000000,0.000000
1751195961.299600,4.000000,0.000000
1751195961.309550,4.000000,0.000000
1751195961.319600,4.000000,0.000000
1751195961.329600,4.000000,0.000000
1751195961.339600,4.000000,0.000000
1751195961.349600,4.000000,0.000000
1751195961.359600,4.000000,0.000000
1751195961.369600,4.000000,0.000000
1751195961.379600,4.000000,0.000000
1751195961.389550,4.000000,0.000000
1751195961.399650,4.000000,0.000000
1751195961.409600,4.000000,0.000000
1751195961.419600,4.000000,0.000000
1751195961.429600,4.000000,0.000000
1751195961.439600,4.000000,0.000000
1751195961.449600,4.000000,0.000000
1751195961.459650,4.000000,0.000000
1751195961.469800,4.000000,0.000000
1751195961.479600,4.000000,0.000000
1751195961.489600,4.000000,0.000000
1751195961.499550,4.000000,0.000000
1751195961.509550,4.000000,0.000000
1751195961.519550,4.000000,0.000000
1751195961.529600,4.000000,0.000000
1751195961.539600,4.000000,0.000000
1751195961.549600,4.000000,0.000000
1751195961.559550,4.000000,0.000000
1751195961.569600,4.000000,0.000000
1751195961.579600,4.000000,0.000000
1751195961.589600,4.000000,0.000000
1751195961.599600,4.000000,0.000000
1751195961.609600,4.000000,0.000000
1751195961.619600,4.000000,0.000000
1751195961.629600,4.000000,0.000000
1751195961.639600,4.000000,0.000000
1751195961.649550,4.000000,0.000000
1751195961.659600,4.000000,0.000000
1751195961.669850,4.000000,0.000000
1751195961.679600,4.000000,0.000000
1751195961.689600,4.000000,0.000000
1751195961.699850,4.000000,0.000000
