t,sensor_spring_travel_rr,sensor_spring_travel_rl,sensor_brake_temp_rr,sensor_brake_temp_rl
1751195804.110650,0.000000,0.000000,0.000000,0.000000
1751195804.160450,0.000000,0.000000,0.000000,0.000000
1751195804.210450,0.000000,0.000000,0.000000,0.000000
1751195804.260600,0.000000,0.000000,0.000000,0.000000
1751195804.310600,0.000000,0.000000,0.000000,0.000000
1751195804.360550,0.000000,0.000000,0.000000,0.000000
1751195804.410450,0.000000,0.000000,0.000000,0.000000
1751195804.510450,0.000000,0.000000,0.000000,0.000000
1751195804.560450,0.000000,0.000000,0.000000,0.000000
1751195804.610450,0.000000,0.000000,0.000000,0.000000
1751195804.660450,0.000000,0.000000,0.000000,0.000000
1751195804.710550,0.000000,0.000000,0.000000,0.000000
1751195804.760600,0.000000,0.000000,0.000000,0.000000
1751195804.810600,0.000000,0.000000,0.000000,0.000000
1751195804.860550,0.000000,0.000000,0.000000,0.000000
1751195804.910600,0.000000,0.000000,0.000000,0.000000
1751195804.960550,0.000000,0.000000,0.000000,0.000000
1751195805.010550,0.000000,0.000000,0.000000,0.000000
1751195805.060550,0.000000,0.000000,0.000000,0.000000
1751195805.160600,0.000000,0.000000,0.000000,0.000000
1751195805.210500,0.000000,0.000000,0.000000,0.000000
1751195805.260550,0.000000,0.000000,0.000000,0.000000
1751195805.310500,0.000000,0.000000,0.000000,0.000000
1751195805.360600,0.000000,0.000000,0.000000,0.000000
1751195805.410550,0.000000,0.000000,0.000000,0.000000
1751195805.460500,0.000000,0.000000,0.000000,0.000000
1751195805.510550,0.000000,0.000000,0.000000,0.000000
1751195805.560500,0.000000,0.000000,0.000000,0.000000
1751195805.610600,0.000000,0.000000,0.000000,0.000000
1751195805.660500,0.000000,0.000000,0.000000,0.000000
1751195805.710550,0.000000,0.000000,0.000000,0.000000
1751195805.760550,0.000000,0.000000,0.000000,0.000000
1751195805.810500,0.000000,0.000000,0.000000,0.000000
1751195805.860550,0.000000,0.000000,0.000000,0.000000
1751195805.910500,0.000000,0.000000,0.000000,0.000000
1751195805.960500,0.000000,0.000000,0.000000,0.000000
1751195806.010550,0.000000,0.000000,0.000000,0.000000
1751195806.060500,0.000000,0.000000,0.000000,0.000000
1751195806.110500,0.000000,0.000000,0.000000,0.000000
1751195806.160500,0.000000,0.000000,0.000000,0.000000
1751195806.210500,0.000000,0.000000,0.000000,0.000000
1751195806.260500,0.000000,0.000000,0.000000,0.000000
1751195806.310550,0.000000,0.000000,0.000000,0.000000
1751195806.360550,0.000000,0.000000,0.000000,0.000000
1751195806.410500,0.000000,0.000000,0.000000,0.000000
1751195806.460500,0.000000,0.000000,0.000000,0.000000
1751195806.510550,0.000000,0.000000,0.000000,0.000000
1751195806.560600,0.000000,0.000000,0.000000,0.000000
1751195806.610500,0.000000,0.000000,0.000000,0.000000
1751195806.660500,0.000000,0.000000,0.000000,0.000000
1751195806.710500,0.000000,0.000000,0.000000,0.000000
1751195806.760550,0.000000,0.000000,0.000000,0.000000
1751195806.810700,0.000000,0.000000,0.000000,0.000000
1751195806.860650,0.000000,0.000000,0.000000,0.000000
1751195806.910500,0.000000,0.000000,0.000000,0.000000
1751195806.960500,0.000000,0.000000,0.000000,0.000000
1751195807.010600,0.000000,0.000000,0.000000,0.000000
1751195807.060500,0.000000,0.000000,0.000000,0.000000
1751195807.110500,0.000000,0.000000,0.000000,0.000000
1751195807.160650,0.000000,0.000000,0.000000,0.000000
1751195807.210650,0.000000,0.000000,0.000000,0.000000
1751195807.260550,0.000000,0.000000,0.000000,0.000000
1751195807.310500,0.000000,0.000000,0.000000,0.000000
1751195807.360650,0.000000,0.000000,0.000000,0.000000
1751195807.410600,0.000000,0.000000,0.000000,0.000000
1751195807.460500,0.000000,0.000000,0.000000,0.000000
1751195807.510550,0.000000,0.000000,0.000000,0.000000
1751195807.560500,0.000000,0.000000,0.000000,0.000000
1751195807.610500,0.000000,0.000000,0.000000,0.000000
1751195807.660500,0.000000,0.000000,0.000000,0.000000
1751195807.710650,0.000000,0.000000,0.000000,0.000000
1751195807.760550,0.000000,0.000000,0.000000,0.000000
1751195807.810500,0.000000,0.000000,0.000000,0.000000
1751195807.860600,0.000000,0.000000,0.000000,0.000000
1751195807.910500,0.000000,0.000000,0.000000,0.000000
1751195807.960550,0.000000,0.000000,0.000000,0.000000
1751195808.010550,0.000000,0.000000,0.000000,0.000000
1751195808.060550,0.000000,0.000000,0.000000,0.000000
1751195808.110700,0.000000,0.000000,0.000000,0.000000
1751195808.160600,0.000000,0.000000,0.000000,0.000000
1751195808.210550,0.000000,0.000000,0.000000,0.000000
1751195808.260600,0.000000,0.000000,0.000000,0.000000
1751195808.310500,0.000000,0.000000,0.000000,0.000000
1751195808.360600,0.000000,0.000000,0.000000,0.000000
1751195808.410500,0.000000,0.000000,0.000000,0.000000
1751195808.460550,0.000000,0.000000,0.000000,0.000000
1751195808.510600,0.000000,0.000000,0.000000,0.000000
1751195808.560550,0.000000,0.000000,0.000000,0.000000
1751195808.610600,0.000000,0.000000,0.000000,0.000000
1751195808.660550,0.000000,0.000000,0.000000,0.000000
1751195808.710550,0.000000,0.000000,0.000000,0.000000
1751195808.760550,0.000000,0.000000,0.000000,0.000000
1751195808.810550,0.000000,0.000000,0.000000,0.000000
1751195808.860550,0.000000,0.000000,0.000000,0.000000
1751195808.910550,0.000000,0.000000,0.000000,0.000000
1751195808.960550,0.000000,0.000000,0.000000,0.000000
1751195809.010550,0.000000,0.000000,0.000000,0.000000
1751195809.060550,0.000000,0.000000,0.000000,0.000000
1751195809.110650,0.000000,0.000000,0.000000,0.000000
1751195809.160700,0.000000,0.000000,0.000000,0.000000
1751195809.210550,0.000000,0.000000,0.000000,0.000000
1751195809.260550,0.000000,0.000000,0.000000,0.000000
1751195809.310550,0.000000,0.000000,0.000000,0.000000
1751195809.360550,0.000000,0.000000,0.000000,0.000000
1751195809.410550,0.000000,0.000000,0.000000,0.000000
1751195809.460550,0.000000,0.000000,0.000000,0.000000
1751195809.510550,0.000000,0.000000,0.000000,0.000000
1751195809.560650,0.000000,0.000000,0.000000,0.000000
1751195809.610550,0.000000,0.000000,0.000000,0.000000
1751195809.660550,0.000000,0.000000,0.000000,0.000000
1751195809.710600,0.000000,0.000000,0.000000,0.000000
1751195809.760550,0.000000,0.000000,0.000000,0.000000
1751195809.810550,0.000000,0.000000,0.000000,0.000000
1751195809.860550,0.000000,0.000000,0.000000,0.000000
1751195809.910600,0.000000,0.000000,0.000000,0.000000
1751195809.960550,0.000000,0.000000,0.000000,0.000000
1751195810.010550,0.000000,0.000000,0.000000,0.000000
1751195810.060600,0.000000,0.000000,0.000000,0.000000
1751195810.110550,0.000000,0.000000,0.000000,0.000000
1751195810.160550,0.000000,0.000000,0.000000,0.000000
1751195810.210550,0.000000,0.000000,0.000000,0.000000
1751195810.260550,0.000000,0.000000,0.000000,0.000000
1751195810.310600,0.000000,0.000000,0.000000,0.000000
1751195810.360700,0.000000,0.000000,0.000000,0.000000
1751195810.410550,0.000000,0.000000,0.000000,0.000000
1751195810.460550,0.000000,0.000000,0.000000,0.000000
1751195810.510550,0.000000,0.000000,0.000000,0.000000
1751195810.560600,0.000000,0.000000,0.000000,0.000000
1751195810.610550,0.000000,0.000000,0.000000,0.000000
1751195810.660600,0.000000,0.000000,0.000000,0.000000
1751195810.710700,0.000000,0.000000,0.000000,0.000000
1751195810.760550,0.000000,0.000000,0.000000,0.000000
1751195810.810600,0.000000,0.000000,0.000000,0.000000
1751195810.860700,0.000000,0.000000,0.000000,0.000000
1751195810.910600,0.000000,0.000000,0.000000,0.000000
1751195810.960600,0.000000,0.000000,0.000000,0.000000
1751195811.010600,0.000000,0.000000,0.000000,0.000000
1751195811.060600,0.000000,0.000000,0.000000,0.000000
1751195811.110600,0.000000,0.000000,0.000000,0.000000
1751195811.160600,0.000000,0.000000,0.000000,0.000000
1751195811.210650,0.000000,0.000000,0.000000,0.000000
1751195811.260600,0.000000,0.000000,0.000000,0.000000
1751195811.310600,0.000000,0.000000,0.000000,0.000000
1751195811.360650,0.000000,0.000000,0.000000,0.000000
1751195811.410600,0.000000,0.000000,0.000000,0.000000
1751195811.460750,0.000000,0.000000,0.000000,0.000000
1751195811.510650,0.000000,0.000000,0.000000,0.000000
1751195811.560600,0.000000,0.000000,0.000000,0.000000
1751195811.610600,0.000000,0.000000,0.000000,0.000000
1751195811.660600,0.000000,0.000000,0.000000,0.000000
1751195811.710600,0.000000,0.000000,0.000000,0.000000
1751195811.760600,0.000000,0.000000,0.000000,0.000000
1751195811.810600,0.000000,0.000000,0.000000,0.000000
1751195811.860600,0.000000,0.000000,0.000000,0.000000
1751195811.910700,0.000000,0.000000,0.000000,0.000000
1751195811.960600,0.000000,0.000000,0.000000,0.000000
1751195812.010600,0.000000,0.000000,0.000000,0.000000
1751195812.060600,0.000000,0.000000,0.000000,0.000000
1751195812.110750,0.000000,0.000000,0.000000,0.000000
