t,ams_temp_max_8,ams_temp_max_7,ams_temp_max_6,ams_temp_max_5,ams_temp_max_4,ams_temp_max_3,ams_temp_max_2,ams_temp_max_1
1751195682.080300,32.000000,-33.500000,32.000000,-40.000000,-36.000000,31.500000,31.500000,36.500000
1751195682.132850,32.000000,-30.500000,32.000000,-40.000000,-35.000000,31.500000,31.500000,36.500000
1751195682.174050,32.000000,-31.500000,32.000000,-39.000000,-39.000000,31.500000,31.500000,36.500000
1751195682.226500,32.000000,-34.500000,32.000000,-38.500000,-37.500000,31.500000,31.500000,36.500000
1751195682.278950,32.000000,-31.000000,32.000000,-39.000000,-37.500000,31.500000,31.500000,36.500000
1751195682.331550,32.500000,-34.000000,32.000000,-39.000000,-38.500000,31.500000,31.500000,36.500000
1751195682.372800,32.000000,-31.500000,32.000000,-40.000000,-36.500000,31.500000,31.500000,36.500000
1751195682.425250,32.000000,-32.500000,32.000000,87.000000,-36.500000,31.500000,31.500000,36.500000
1751195682.477800,32.000000,-30.500000,32.000000,-38.000000,-35.000000,31.500000,31.500000,36.500000
1751195682.530400,32.000000,-30.500000,32.000000,-39.000000,-40.000000,31.500000,31.500000,36.500000
1751195682.583150,32.000000,-31.000000,32.000000,-36.500000,-36.000000,31.500000,31.500000,36.500000
1751195682.624500,32.000000,-24.000000,32.000000,-39.500000,-35.000000,31.500000,31.500000,36.500000
1751195682.677200,32.000000,-33.500000,32.000000,-39.500000,-36.000000,31.500000,31.500000,36.500000
1751195682.729800,32.000000,-31.500000,32.000000,87.000000,-37.500000,31.500000,31.500000,36.500000
1751195682.782450,32.000000,-30.500000,32.000000,-37.500000,-35.500000,31.500000,31.500000,36.500000
1751195682.823800,32.000000,-34.000000,32.000000,86.500000,-36.000000,31.500000,31.500000,36.500000
1751195682.876450,32.000000,-33.000000,32.000000,-39.500000,-37.000000,31.500000,31.500000,36.500000
1751195682.928900,32.000000,-31.500000,32.000000,-38.500000,-35.000000,31.500000,31.500000,36.500000
1751195682.981400,32.000000,-30.500000,32.000000,87.500000,-35.000000,31.500000,31.500000,36.500000
1751195683.022800,32.000000,-32.000000,32.000000,-38.500000,-35.500000,31.500000,31.500000,36.500000
1751195683.075250,32.000000,-31.500000,32.000000,-39.000000,-38.500000,31.500000,31.500000,36.500000
1751195683.127800,32.000000,-34.000000,32.000000,-38.000000,-39.500000,31.500000,31.500000,36.500000
1751195683.180400,32.500000,-28.000000,32.000000,-40.000000,-34.500000,31.500000,31.500000,36.500000
1751195683.233200,32.000000,-32.500000,32.000000,-38.500000,-37.000000,31.500000,31.500000,36.500000
1751195683.274500,32.000000,-33.500000,32.000000,-39.500000,-35.500000,31.500000,31.500000,36.500000
1751195683.327200,32.000000,-31.000000,32.000000,-39.000000,-35.000000,31.500000,31.500000,36.500000
