t,PDU_CH8_current,PDU_CH7_current,PDU_CH6_current,PDU_CH5_current,PDU_CH4_current,PDU_CH3_current,PDU_CH2_current,PDU_CH1_current
1751195837.807550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.857600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.907550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.957600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.007550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.057550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.107600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.157600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.207550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.257600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.307600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.357550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.407600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.457600,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.507600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.557600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.607550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.657600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.707600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.757550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.807600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.857550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.907550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195838.957600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.007600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.057600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.107600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.157600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.207600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.257600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.307600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.357600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.407600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.457600,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.507650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.557600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.607650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.657600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.707600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.757650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.807600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.857550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.907600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195839.957600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.007650,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.057600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.107600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.157600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.207600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.257650,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.307600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.357600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.407650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.457650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.507600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.557650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.607650,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.657600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.707650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.757650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.807700,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.857650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.907600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195840.957650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195841.007650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195841.057600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195841.107650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195841.157600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195841.207600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195841.257650,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195841.307650,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
