t,ams_reset,ams_stop_charging,ams_charging_request,ams_precharge_req,ams_balancing_req
1751195817.643350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.653300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.663350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.673300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.683550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.693350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.703350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.713300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.723500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.733300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.743350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.753350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.763350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.773500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.783300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.793250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.803350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.813300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.823350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.833300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.843300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.853350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.863350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.873300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.883500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.893300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.903300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.913350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.923300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.933450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.943300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.953300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.963300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.973350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.983300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.993300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.003300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.013350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.023550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.033350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.043350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.053550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.063300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.073350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.083500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.093300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.103300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.113300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.123300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.133400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.143300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.153300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.163300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.173600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.183300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.193300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.203300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.213350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.223400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.233350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.243300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.253300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.263300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.273300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.283500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.293300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.303300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.313300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.323250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.333550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.343300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.353300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.363300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.373400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.383250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.393300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.403300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.413300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.423500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.433300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.443350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.453300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.463300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.473250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.483500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.493300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.503300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.513300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.523250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.533350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.543300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.553300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.563300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.573500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.583300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.593300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.603300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.613300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.623350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.633300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.643300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.653300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.663350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.673300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.683300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.693400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.703300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.713300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.723250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.733500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.743300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.753250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.763300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.773300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.783300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.793250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.803250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.813300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.823450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.833300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.843300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.853250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.863300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.873300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.883300,0.000000,0.000000,0.000000,1.000000,0.000000
