t,sensor_imu_yawrate,sensor_imu_velocity,sensor_imu_accel_y,sensor_imu_accel_x
1751195726.109750,0.000000,0.000000,0.000000,0.000000
1751195726.209550,-0.009150,0.000000,0.000000,0.000000
1751195726.309550,0.000000,0.000000,0.000000,-0.003050
1751195726.359600,-0.009150,0.000000,0.000000,-0.003050
1751195726.409650,-0.009150,0.000000,0.000000,-0.003050
1751195726.459550,0.000000,0.000000,0.000000,-0.003050
1751195726.559550,0.000000,0.000000,0.000000,-0.003050
1751195726.609600,0.000000,0.000000,0.000000,-0.003050
1751195726.659650,0.018300,47.276220,0.000000,-0.003050
1751195726.709550,0.000000,0.000000,0.000000,-0.003050
1751195726.759700,0.000000,0.000000,0.000000,-0.003050
1751195726.809650,0.000000,0.000000,0.000000,-0.003050
1751195726.859750,0.000000,0.000000,0.000000,-0.003050
1751195726.909550,0.000000,0.000000,0.000000,-0.003050
1751195726.959650,-0.009150,0.000000,0.000000,-0.003050
1751195727.059800,0.000000,0.000000,0.000000,-0.003050
1751195727.159550,0.000000,0.000000,0.000000,-0.003050
1751195727.209550,0.000000,119.929050,0.000000,-0.003050
1751195727.259550,0.000000,61.930860,0.000000,-0.003050
1751195727.309550,-0.009150,119.929050,0.000000,-0.003050
1751195727.359600,-34.998750,0.000000,0.000000,-0.003050
1751195727.409600,0.000000,0.000000,0.000000,-0.003050
1751195727.459600,0.000000,0.000000,0.000000,-0.003050
1751195727.509600,-0.009150,0.000000,0.000000,-0.003050
1751195727.609700,0.000000,0.021960,0.000000,-0.003050
1751195727.809750,-242.484150,0.000000,0.000000,-0.003050
1751195727.859750,0.000000,119.929050,0.000000,58.980900
1751195727.909750,0.000000,0.000000,0.000000,58.980900
1751195727.959600,0.000000,5.907240,0.000000,58.980900
1751195728.059600,0.000000,0.000000,0.000000,-67.996700
1751195728.109600,0.000000,119.929050,0.000000,-67.996700
1751195728.209550,0.000000,119.929050,0.000000,-67.996700
1751195728.259650,0.000000,0.000000,0.000000,-0.003050
1751195728.309650,0.000000,1.476810,0.000000,-0.003050
1751195728.359600,-3.806400,0.000000,0.000000,-0.003050
1751195728.409750,0.000000,0.091500,0.000000,-0.003050
1751195728.459700,0.000000,0.000000,0.000000,0.000000
1751195728.509600,0.000000,0.000000,0.000000,0.000000
1751195728.559550,-0.018300,62.487180,0.000000,0.000000
1751195728.609600,-0.009150,119.929050,0.000000,0.000000
1751195728.659650,0.000000,119.929050,0.000000,0.000000
1751195728.709650,0.000000,0.000000,0.000000,0.000000
1751195728.759600,-0.009150,0.000000,0.000000,0.000000
1751195728.809700,-0.009150,0.000000,0.000000,0.000000
1751195728.859600,0.000000,18.953310,0.000000,0.000000
1751195728.959600,0.000000,0.000000,0.000000,0.000000
1751195729.009700,-0.027450,0.000000,0.000000,0.000000
1751195729.059650,-0.009150,119.929050,0.000000,0.000000
1751195729.109600,0.000000,0.000000,0.000000,0.000000
1751195729.159800,0.000000,0.735660,0.000000,0.000000
1751195729.259600,0.000000,0.000000,0.000000,0.000000
1751195729.309700,0.000000,0.000000,0.000000,0.000000
1751195729.359850,0.000000,0.000000,0.000000,6.423300
1751195729.409800,0.000000,0.000000,0.000000,6.423300
1751195729.509650,0.000000,0.000000,0.000000,6.426350
1751195729.559600,0.000000,0.406260,0.000000,0.000000
1751195729.609650,0.000000,0.355020,0.000000,0.000000
1751195729.659650,0.000000,0.378810,0.000000,0.000000
1751195729.759650,0.000000,0.000000,0.000000,0.000000
1751195729.809650,0.000000,0.000000,0.000000,0.000000
1751195729.859700,0.000000,0.000000,0.000000,0.000000
1751195729.909650,0.000000,0.000000,0.000000,0.000000
1751195729.959650,0.000000,119.929050,0.000000,0.000000
1751195730.009800,0.000000,0.000000,0.000000,0.000000
1751195730.059600,0.000000,0.000000,0.000000,0.000000
1751195730.109600,0.000000,0.000000,0.000000,0.000000
1751195730.159700,0.000000,0.000000,0.000000,0.000000
1751195730.209700,0.000000,0.000000,0.000000,0.000000
1751195730.259750,0.000000,0.000000,0.000000,0.000000
1751195730.309650,0.000000,0.000000,0.000000,0.000000
1751195730.359750,0.000000,0.000000,0.000000,0.000000
1751195730.409600,0.000000,0.000000,0.000000,0.000000
1751195730.459700,0.000000,119.929050,0.000000,0.000000
1751195730.509650,0.000000,119.929050,0.000000,0.000000
1751195730.559650,0.000000,0.000000,0.000000,0.000000
1751195730.659800,0.000000,0.000000,0.000000,0.000000
1751195730.859850,0.000000,119.929050,0.000000,0.000000
1751195730.959650,0.000000,0.000000,0.000000,0.000000
1751195731.009700,0.000000,0.000000,0.000000,0.000000
1751195731.159650,0.000000,43.407600,0.000000,0.000000
1751195731.209650,0.000000,0.000000,0.000000,0.000000
1751195731.359650,0.000000,0.000000,0.000000,0.000000
1751195731.409650,0.000000,0.000000,0.000000,0.000000
1751195731.459850,0.000000,0.000000,0.000000,0.000000
1751195731.509800,0.000000,119.929050,0.000000,0.000000
1751195731.559750,0.000000,119.929050,0.000000,0.000000
1751195731.659650,0.000000,0.000000,0.000000,0.000000
1751195731.809650,0.000000,119.929050,0.000000,0.000000
1751195731.859650,0.000000,0.000000,0.000000,0.000000
1751195731.959650,0.000000,0.000000,0.000000,0.000000
1751195732.009750,0.000000,0.000000,0.000000,0.000000
1751195732.059650,0.000000,0.000000,0.000000,0.000000
1751195732.109650,0.000000,0.000000,0.000000,0.000000
1751195732.159900,0.000000,0.000000,0.000000,0.000000
1751195732.209650,0.000000,0.000000,0.000000,0.000000
1751195732.259750,0.000000,0.000000,0.000000,0.000000
1751195732.309900,0.000000,119.929050,0.000000,0.000000
1751195732.359650,0.000000,0.000000,0.000000,0.000000
