t,sensor_spring_travel_fr,sensor_spring_travel_fl,sensor_brake_temp_fr,sensor_brake_temp_fl
1751195547406,61.7094,62.9298,0.0,0.0
1751195547456,61.074,63.4176,0.0,0.0
1751195547507,61.5618,64.2978,0.0,0.0
1751195547556,61.7814,62.9532,0.0,0.0
1751195547607,62.2206,63.9306,0.0,0.0
1751195547656,62.2458,63.7848,0.0,0.0
1751195547706,62.1,63.6372,0.0,0.0
1751195547756,62.1972,63.8082,0.0,0.0
1751195547806,61.9776,63.7362,0.0,0.0
1751195547857,61.83,63.5652,0.0,0.0
1751195547906,61.9776,63.6138,0.0,0.0
1751195547957,62.1972,63.882,0.0,0.0
1751195548006,61.9776,63.8568,0.0,0.0
1751195548056,61.9038,63.7362,0.0,0.0
1751195548106,61.9038,63.5652,0.0,0.0
1751195548156,61.9038,63.7848,0.0,0.0
1751195548206,61.9524,63.9306,0.0,0.0
1751195548256,62.1486,64.224,0.0,0.0
1751195548306,61.1712,63.8568,0.0,0.0
1751195548356,61.2198,64.1502,0.0,0.0
1751195548406,61.6104,64.224,0.0,0.0
1751195548457,61.9524,64.2726,0.0,0.0
1751195548506,61.659,63.7362,0.0,0.0
1751195548556,62.001,64.395,0.0,0.0
1751195548606,61.3422,63.9792,0.0,0.0
1751195548656,61.6104,63.9306,0.0,0.0
1751195548707,61.6356,63.9558,0.0,0.0
1751195548756,61.8786,64.0278,0.0,0.0
1751195548806,61.7814,64.0764,0.0,0.0
1751195548857,61.9524,64.0764,0.0,0.0
1751195548906,61.8552,64.1268,0.0,0.0
1751195548956,61.3422,63.9558,0.0,0.0
1751195549006,61.416,64.1754,0.0,0.0
1751195549057,61.5132,64.224,0.0,0.0
1751195549106,61.8066,64.1988,0.0,0.0
1751195549157,61.758,64.053,0.0,0.0
1751195549206,61.5132,63.6372,0.0,0.0
1751195549257,61.9524,63.9306,0.0,0.0
1751195549306,61.9038,64.053,0.0,0.0
1751195549356,61.6104,64.0764,0.0,0.0
1751195549406,61.7094,64.1988,0.0,0.0
1751195549456,61.4394,64.053,0.0,0.0
1751195549507,61.7094,64.1754,0.0,0.0
1751195549556,61.2936,63.7848,0.0,0.0
1751195549607,61.4394,63.6624,0.0,0.0
1751195549657,61.7814,64.2978,0.0,0.0
1751195549707,61.7094,64.2474,0.0,0.0
1751195549756,61.5132,63.9072,0.0,0.0
1751195549806,61.4646,63.9792,0.0,0.0
1751195549856,61.245,64.0044,0.0,0.0
1751195549907,61.416,64.2474,0.0,0.0
1751195549956,61.5132,64.3698,0.0,0.0
1751195550007,61.3908,64.1754,0.0,0.0
1751195550057,61.3674,64.0764,0.0,0.0
1751195550107,61.4394,64.1016,0.0,0.0
1751195550157,61.587,64.2474,0.0,0.0
1751195550206,61.5132,64.3212,0.0,0.0
1751195550257,61.5132,64.4184,0.0,0.0
1751195550306,61.1712,64.4436,0.0,0.0
1751195550357,60.9516,64.4922,0.0,0.0
1751195550406,60.8292,64.566,0.0,0.0
1751195550456,60.9516,64.98,0.0,0.0
1751195550507,60.7806,64.98,0.0,0.0
1751195550557,60.732,64.9566,0.0,0.0
1751195550606,60.6348,64.7604,0.0,0.0
1751195550657,60.6582,64.8828,0.0,0.0
1751195550706,60.9516,64.8594,0.0,0.0
1751195550757,61.074,64.6884,0.0,0.0
1751195550806,61.1226,64.737,0.0,0.0
1751195550856,60.9516,64.6146,0.0,0.0
1751195550906,60.903,64.6146,0.0,0.0
1751195550957,60.7806,64.566,0.0,0.0
1751195551156,60.3648,64.5408,0.0,0.0
1751195551207,60.39,64.566,0.0,0.0
1751195551256,60.1452,64.5408,0.0,0.0
1751195551307,60.3414,64.6632,0.0,0.0
1751195551357,60.8778,64.4922,0.0,0.0
1751195551407,60.9264,64.0044,0.0,0.0
1751195551506,61.0254,63.7596,0.0,0.0
1751195551556,61.245,63.7596,0.0,0.0
1751195551606,61.3422,63.8568,0.0,0.0
1751195551656,60.732,63.9558,0.0,0.0
1751195551707,60.4872,64.2726,0.0,0.0
1751195551757,60.5124,64.5174,0.0,0.0
1751195551807,60.4872,64.4184,0.0,0.0
1751195551857,61.074,64.3464,0.0,0.0
1751195551957,61.6356,63.369,0.0,0.0
1751195552006,61.5132,62.9298,0.0,0.0
1751195552056,60.6348,63.4662,0.0,0.0
1751195552107,61.587,64.395,0.0,0.0
1751195552156,61.0254,63.9072,0.0,0.0
1751195552257,60.8544,63.9306,0.0,0.0
1751195552306,61.2936,63.8568,0.0,0.0
1751195552406,61.9038,61.5132,0.0,0.0
1751195552457,62.2458,62.3916,0.0,0.0
1751195552506,62.343,62.5878,0.0,0.0
1751195552556,62.172,62.4168,0.0,0.0
1751195552607,62.2206,62.6112,0.0,0.0
1751195552706,61.929,62.7822,0.0,0.0
1751195552756,62.1,62.8074,0.0,0.0
1751195552907,62.7102,61.7328,0.0,0.0
1751195553006,63.3204,61.5618,0.0,0.0
1751195553057,63.369,61.659,0.0,0.0
1751195553157,62.8812,61.83,0.0,0.0
1751195553207,62.8326,62.0262,0.0,0.0
1751195553306,62.6616,62.1234,0.0,0.0
1751195553356,63.1242,62.172,0.0,0.0
1751195553456,62.271,61.7814,0.0,0.0
1751195553506,62.3916,62.1486,0.0,0.0
1751195553607,62.5878,62.9532,0.0,0.0
1751195553707,60.903,64.0764,0.0,0.0
1751195553757,60.8292,64.8594,0.0,0.0
1751195553807,60.8292,64.566,0.0,0.0
1751195553857,61.0974,63.1008,0.0,0.0
1751195553906,61.4394,62.3916,0.0,0.0
