t,amk_torque_limit_neg_right,amk_torque_limit_pos_right,amk_torque_target_right,amk_control_right
1751195986.059650,0.000000,214.200000,3.400000,1795.000000
1751195986.069450,0.000000,214.200000,3.400000,1795.000000
1751195986.079450,0.000000,214.200000,3.400000,1795.000000
1751195986.089400,0.000000,214.200000,3.400000,1795.000000
1751195986.099450,0.000000,214.200000,3.400000,1795.000000
1751195986.109400,0.000000,214.200000,3.400000,1795.000000
1751195986.119400,0.000000,214.200000,3.400000,1795.000000
1751195986.129500,0.000000,214.200000,3.400000,1795.000000
1751195986.139400,0.000000,214.200000,3.400000,1795.000000
1751195986.149400,0.000000,214.200000,3.400000,1795.000000
1751195986.159400,0.000000,214.200000,3.400000,1795.000000
1751195986.169400,0.000000,214.200000,4.300000,1795.000000
1751195986.179450,0.000000,214.200000,4.300000,1795.000000
1751195986.189400,0.000000,214.200000,4.300000,1795.000000
1751195986.199450,0.000000,214.200000,4.300000,1795.000000
1751195986.209400,0.000000,214.200000,4.300000,1795.000000
1751195986.219400,0.000000,214.200000,4.300000,1795.000000
1751195986.229450,0.000000,214.200000,4.300000,1795.000000
1751195986.239400,0.000000,214.200000,4.300000,1795.000000
1751195986.249450,0.000000,214.200000,4.300000,1795.000000
1751195986.259450,0.000000,214.200000,4.300000,1795.000000
1751195986.269700,0.000000,214.200000,4.300000,1795.000000
1751195986.279400,0.000000,214.200000,4.300000,1795.000000
1751195986.289400,0.000000,214.200000,4.300000,1795.000000
1751195986.299700,0.000000,214.200000,4.300000,1795.000000
1751195986.309400,0.000000,214.200000,4.300000,1795.000000
1751195986.319450,0.000000,214.200000,3.400000,1795.000000
1751195986.329400,0.000000,214.200000,3.400000,1795.000000
1751195986.339400,0.000000,214.200000,3.400000,1795.000000
1751195986.349450,0.000000,214.200000,3.400000,1795.000000
1751195986.359400,0.000000,214.200000,3.400000,1795.000000
1751195986.369400,0.000000,214.200000,3.400000,1795.000000
1751195986.379450,0.000000,214.200000,3.400000,1795.000000
1751195986.389400,0.000000,214.200000,3.400000,1795.000000
1751195986.399400,0.000000,214.200000,3.400000,1795.000000
1751195986.409400,0.000000,214.200000,3.400000,1795.000000
1751195986.419400,0.000000,214.200000,3.400000,1795.000000
1751195986.429450,0.000000,214.200000,3.400000,1795.000000
1751195986.439400,0.000000,214.200000,3.400000,1795.000000
1751195986.449400,0.000000,214.200000,3.400000,1795.000000
1751195986.459400,0.000000,214.200000,3.400000,1795.000000
1751195986.469400,0.000000,214.200000,4.300000,1795.000000
1751195986.479600,0.000000,214.200000,4.300000,1795.000000
1751195986.489400,0.000000,214.200000,4.300000,1795.000000
1751195986.499400,0.000000,214.200000,4.300000,1795.000000
1751195986.509650,0.000000,214.200000,4.300000,1795.000000
1751195986.519400,0.000000,214.200000,3.400000,1795.000000
1751195986.529400,0.000000,214.200000,3.400000,1795.000000
1751195986.539450,0.000000,214.200000,3.400000,1795.000000
