t,sensor_apps_valid,sensor_brake_pressure_f,sensor_wheel_speed_fr,sensor_wheel_speed_fl,sensor_steering_angle,sensor_brake_pressure_r,sensor_apps
1751195776.509550,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,53.600000
1751195776.559400,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.000000
1751195776.609450,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.000000
1751195776.659800,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.000000
1751195776.709850,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,53.600000
1751195776.759750,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,53.600000
1751195776.809800,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,53.600000
1751195776.859600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.000000
1751195776.909800,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.000000
1751195776.959800,1.000000,2.560000,0.000000,0.000000,-20.000000,2.240000,53.600000
1751195777.009400,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,53.600000
1751195777.059850,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,53.600000
1751195777.109450,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.000000
1751195777.159600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.000000
1751195777.209500,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.000000
1751195777.259450,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,54.000000
1751195777.309650,1.000000,2.880000,0.000000,0.000000,-20.000000,2.400000,54.000000
1751195777.359600,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,54.000000
1751195777.409700,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.400000
1751195777.459900,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.400000
1751195777.509350,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,54.400000
1751195777.559350,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,57.200000
1751195777.609750,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,58.000000
1751195777.659950,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,58.400000
1751195777.709300,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,58.400000
1751195777.759750,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,58.400000
1751195777.809900,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,58.000000
1751195777.859700,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,59.600000
1751195777.909400,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,61.600000
1751195777.959600,1.000000,2.400000,0.000000,0.000000,-20.000000,2.240000,62.000000
1751195778.009450,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,62.400000
1751195778.059500,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,65.600000
1751195778.109700,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,65.600000
1751195778.159900,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,67.200000
1751195778.209400,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,72.800000
1751195778.259350,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,73.600000
1751195778.309700,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,74.000000
1751195778.359850,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,75.600000
1751195778.409600,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,75.200000
1751195778.459350,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,74.000000
1751195778.509600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,74.400000
1751195778.559550,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,74.400000
1751195778.609300,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,74.400000
1751195778.659750,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,74.000000
1751195778.709550,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,74.800000
1751195778.759750,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,76.000000
1751195778.809550,1.000000,2.400000,0.000000,0.000000,-20.000000,2.240000,78.000000
1751195778.859450,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,77.600000
1751195778.909700,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,72.000000
1751195778.959350,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,71.600000
1751195779.009600,1.000000,2.880000,0.000000,0.000000,-20.000000,2.400000,71.600000
1751195779.059500,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,72.000000
1751195779.109750,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,72.000000
1751195779.159600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,72.000000
1751195779.209700,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,68.800000
1751195779.259800,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,64.000000
1751195779.309550,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,64.400000
1751195779.359750,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,64.400000
1751195779.409850,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,62.400000
1751195779.459550,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,62.000000
1751195779.509650,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,62.000000
1751195779.559400,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,62.000000
1751195779.609750,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,62.400000
1751195779.659450,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,62.400000
1751195779.709450,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,66.400000
1751195779.759500,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,66.800000
