t,dash_btn2_pressed,dash_btn1_pressed,st_wheel_btn4_pressed,st_wheel_btn3_pressed,st_wheel_btn2_pressed,st_wheel_btn1_pressed
1751195611.102150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.152150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.202200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.252150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.302150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.352150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.402150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.452200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.502150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.552150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.602150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.652150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.702200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.752150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.802150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.852150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.902150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.952150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.002150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.052150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.102150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.152150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.202150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.252150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.302150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.352150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.402150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.452150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.502150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.552150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.602150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.652150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.702150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.752150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.802150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.852150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.902150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195612.952150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.002150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.052150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.102150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.152150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.202150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.252150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.302150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.352150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.402150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.452150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.502150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.552150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.602150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.652150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.702150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.752150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.802150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.852150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.902150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195613.952150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.002150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.052150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.102150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.152150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.202150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.252150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.302150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.352150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.402150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.452150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.502150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.552100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.602150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.652150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.702150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.752150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.802100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.852150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.902150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195614.952100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.002150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.052100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.102150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.152150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.202100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.252150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.302100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.352150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.402150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.452100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.502150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.552100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.602100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.652150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.702100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.752150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.802100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.852100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.902150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195615.952100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.002150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.052100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.102100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.152150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.202100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.252100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.302100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.352100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.402150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.452100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.502100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.552100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.602100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.652100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.702100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.752100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.802100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.852100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.902100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195616.952100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.002100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.052100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.102100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.152100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.202100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.252100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.302100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.352100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.402100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.452100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.502100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.552100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.602100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.652100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.702100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.752100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.802100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.852100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.902100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195617.952100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.002100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.052100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.102100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.152100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.202100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.252100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.302100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.352100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.402100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.452100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.502100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.552100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.602100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.652100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.702100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.752100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.802100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.852100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.902100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195618.952100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.002100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.052100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.102100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.152100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.202100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.252100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.302100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.352100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.402100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.452100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195619.502100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
