t,ams_voltage_min_8,ams_voltage_min_7,ams_voltage_min_6,ams_voltage_min_5,ams_voltage_min_4,ams_voltage_min_3,ams_voltage_min_2,ams_voltage_min_1
1751195523.554250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.565500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.584250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.595550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.606800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.618100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.636750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.648000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.659300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.670550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.689300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.700600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.711850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.723150,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.741900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.753150,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.764400,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.783100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.794350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.805600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.816900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.835550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.846800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.858100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.869350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.888000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.899300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.910550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.921850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.940550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.951850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.963100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.974400,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.993050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.004300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.015600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.034300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.045600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.056850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.068100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.086800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.098100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.109350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.120600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.139350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.150650,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.161950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.173200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.191950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.203200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.214500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.233100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.244400,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.255700,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.266950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.285600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.296850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.308150,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.319450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.338050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.349350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.360600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.371900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.390650,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.401900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.413200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.424450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.443100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.454400,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.465650,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.484250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.495550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.506850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.518100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.536750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.548000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.559300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.570600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.589200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.600500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.611800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.623050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.641800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.653050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.664350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.683000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.694250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.705550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.716800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.735450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.746750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.758050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.769300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.787900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.799200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.810500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.821750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.840450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.851750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.863050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.874300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.892950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195524.904200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
